1627976220.3988953,migration switch13,Rate 36.217847658621125, from 3, to 4,1627976219.2757049,1.1231918334960938
1627976221.396157,migration switch2,Rate 20.87082364861869, from 2, to 1,1627976213.180281,8.215877771377563
1627976222.3833897,migration switch10,Rate 18.906839613157302, from 4, to 3,1627976217.1568573,5.226533889770508
1627976223.4902596,migration switch13,Rate 31.949052132122212, from 4, to 3,1627976222.383545,1.1067161560058594
1627976224.5167806,migration switch10,Rate 18.871687304660536, from 3, to 1,1627976220.3989685,4.117815971374512
1627976225.641682,migration switch13,Rate 30.38026915656264, from 3, to 4,1627976224.5174491,1.1242351531982422
1627976227.6272886,migration switch1,Rate 22.850712671249944, from 4, to 3,1627976223.4903567,4.136933326721191
1627976228.727944,migration switch13,Rate 40.84932771296552, from 4, to 3,1627976227.6279497,1.0999975204467773
1627976229.8212593,migration switch10,Rate 15.22384888053311, from 1, to 3,1627976216.6664605,13.154801607131958
1627976230.8681557,migration switch10,Rate 22.499345716344525, from 3, to 4,1627976225.644033,5.224124193191528
1627976231.9414809,migration switch2,Rate 33.07858280101916, from 1, to 4,1627976229.8222494,2.1192331314086914
1627976232.9532268,migration switch1,Rate 31.63251623645595, from 3, to 1,1627976230.8688807,2.0843489170074463
1627976234.044904,migration switch13,Rate 52.50399524564154, from 3, to 4,1627976232.9540908,1.0908162593841553
1627976235.5566757,migration switch3,Rate 23.55936760669602, from 2, to 3,1627976221.3971586,14.159518480300903
1627976236.040502,migration switch1,Rate 35.18223011249484, from 1, to 3,1627976231.9415874,4.0989158153533936
1627976236.8820975,migration switch10,Rate 16.550927263061247, from 4, to 3,1627976228.7287445,8.153355598449707
1627976237.9830294,migration switch2,Rate 26.624291923317983, from 4, to 1,1627976236.8829694,1.1000609397888184
1627976239.0677636,migration switch9,Rate 44.18597311632028, from 4, to 2,1627976237.9896545,1.0781097412109375
1627976240.276582,migration switch10,Rate 16.236654145295823, from 3, to 4,1627976234.0458632,6.23072075843811
1627976241.3820508,migration switch3,Rate 23.443577272068648, from 3, to 4,1627976240.2767186,1.105334997177124
1627976242.49542,migration switch1,Rate 31.853841999189083, from 3, to 1,1627976241.3828773,1.112544059753418
1627976243.8170385,migration switch4,Rate 26.223517854566094, from 2, to 3,1627976235.5568397,8.260200023651123
1627976244.207172,migration switch2,Rate 19.04596607878043, from 1, to 3,1627976236.0406008,8.166574239730835
1627976245.27847,migration switch1,Rate 27.110432956502798, from 1, to 2,1627976244.2073395,1.071131706237793
1627976246.7159314,migration switch4,Rate 24.773654154149032, from 3, to 1,1627976242.4955144,4.220418691635132
1627976247.8033023,migration switch2,Rate 18.036776451741122, from 3, to 1,1627976246.716543,1.086761713027954
1627976249.9370573,migration switch9,Rate 27.19501507570172, from 2, to 3,1627976243.8171294,6.11992883682251
1627976251.5024576,migration switch2,Rate 17.83106105877117, from 1, to 2,1627976245.2785378,6.2239227294921875
